index,abbr,name,level,type,area
11,ATS,IEEE Asian Test Symposium,C,会议,计算机体系结构/并行与分布计算/存储系统
12,HPCC,IEEE International Conference on High Performance Computing and Communications,C,会议,计算机体系结构/并行与分布计算/存储系统
13,HiPC,"IEEE International Conference on High Performance Computing, Data and Analytics",C,会议,计算机体系结构/并行与分布计算/存储系统
14,MASCOTS,"IEEE International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems",C,会议,计算机体系结构/并行与分布计算/存储系统
15,ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications,C,会议,计算机体系结构/并行与分布计算/存储系统
16,CCGRID,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",C,会议,计算机体系结构/并行与分布计算/存储系统
17,NPC,IFIP International Conference on Network and Parallel Computing,C,会议,计算机体系结构/并行与分布计算/存储系统
18,ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,C,会议,计算机体系结构/并行与分布计算/存储系统
19,CASES,"International Conference on Compilers, Architectures, and Synthesis for Embedded Systems",C,会议,计算机体系结构/并行与分布计算/存储系统
20,FPT,International Conference on Field-Programmable Technology,C,会议,计算机体系结构/并行与分布计算/存储系统
21,ICPADS,International Conference on Parallel and Distributed Systems,C,会议,计算机体系结构/并行与分布计算/存储系统
22,ISCAS,International Symposium on Circuits and Systems,C,会议,计算机体系结构/并行与分布计算/存储系统
23,ISLPED,International Symposium on Low Power Electronics and Design,C,会议,计算机体系结构/并行与分布计算/存储系统
24,ISPD,International Symposium on Physical Design,C,会议,计算机体系结构/并行与分布计算/存储系统
25,HotI,Symposium on High-Performance Interconnects,C,会议,计算机体系结构/并行与分布计算/存储系统
26,VTS,VLSI Test Symposium,C,会议,计算机体系结构/并行与分布计算/存储系统
1,SIGCOMM,"ACM International Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",A,会议,计算机网络
2,MobiCom,ACM International Conference on Mobile Computing and Networking,A,会议,计算机网络
3,INFOCOM,IEEE International Conference on Computer Communications,A,会议,计算机网络
4,NSDI,Symposium on Network System Design and Implementation,A,会议,计算机网络
1,SenSys,ACM Conference on Embedded Networked Sensor Systems,B,会议,计算机网络
2,CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,B,会议,计算机网络
3,SECON,IEEE Communications Society Conference on Sensor and Ad Hoc Communications and Networks,B,会议,计算机网络
4,IPSN,International Conference on Information Processing in Sensor Networks,B,会议,计算机网络
5,MobiSys,"International Conference on Mobile Systems, Applications, and Services",B,会议,计算机网络
6,ICNP,International Conference on Network Protocols,B,会议,计算机网络
7,MobiHoc,International Symposium on Mobile Ad Hoc Networking and Computing,B,会议,计算机网络
8,NOSSDAV,International Workshop on Network and Operating System Support for Digital Audio and Video,B,会议,计算机网络
9,IWQoS,International Workshop on Quality of Service,B,会议,计算机网络
10,IMC,Internet Measurement Conference,B,会议,计算机网络
1,ANCS,Architectures for Networking and Communications Systems,C,会议,计算机网络
2,APNOMS,Asia-Pacific Network Operations and Management Symposium,C,会议,计算机网络
3,FORTE,Formal Techniques for Networked and Distributed Systems,C,会议,计算机网络
4,LCN,IEEE Conference on Local Computer Networks,C,会议,计算机网络
5,GLOBECO M,IEEE Global Communications Conference,C,会议,计算机网络
6,ICC,IEEE International Conference on Communications,C,会议,计算机网络
7,ICCCN,IEEE International Conference on Computer Communications and Networks,C,会议,计算机网络
8,MASS,IEEE International Conference on Mobile Ad-hoc and Sensor Systems,C,会议,计算机网络
9,P2P,IEEE International Conference on Peer-to-Peer Computing,C,会议,计算机网络
10,IPCCC,IEEE International Performance Computing and Communications Conference,C,会议,计算机网络
11,WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",C,会议,计算机网络
12,ISCC,IEEE Symposium on Computers and Communications,C,会议,计算机网络
13,WCNC,IEEE Wireless Communications & Networking Conference,C,会议,计算机网络
14,Networking,IFIP International Conferences on Networking,C,会议,计算机网络
15,IM,IFIP/IEEE International Symposium on Integrated Network Management,C,会议,计算机网络
16,MSN,International Conference on Mobile Ad-hoc and Sensor Networks,C,会议,计算机网络
17,MSWiM,"International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",C,会议,计算机网络
18,WASA,"International Conference on Wireless Algorithms, Systems, and Applications",C,会议,计算机网络
19,HotNets,The Workshop on Hot Topics in Networks,C,会议,计算机网络
1,CCS,ACM Conference on Computer and Communications Security,A,会议,网络与信息安全
2,EUROCRYPT,European Cryptology Conference,A,会议,网络与信息安全
3,S&P,IEEE Symposium on Security and Privacy,A,会议,网络与信息安全
4,CRYPTO,International Cryptology Conference,A,会议,网络与信息安全
5,USENIX Security,Usenix Security Symposium,A,会议,网络与信息安全
1,ACSAC,Annual Computer Security Applications Conference,B,会议,网络与信息安全
2,ASIACRYPT,Annual International Conference on the Theory and Application of Cryptology and Information Security,B,会议,网络与信息安全
3,ESORICS,European Symposium on Research in Computer Security,B,会议,网络与信息安全
4,FSE,Fast Software Encryption,B,会议,网络与信息安全
5,CSFW,IEEE Computer Security Foundations Workshop,B,会议,网络与信息安全
6,SRDS,IEEE International Symposium on Reliable Distributed Systems,B,会议,网络与信息安全
7,CHES,International Conference on Cryptographic Hardware and Embedded Systems,B,会议,网络与信息安全
8,DSN,International Conference on Dependable Systems and Networks,B,会议,网络与信息安全
9,RAID,International Symposium on Recent Advances in Intrusion Detection,B,会议,网络与信息安全
10,PKC,International Workshop on Practice and Theory in Public Key Cryptography,B,会议,网络与信息安全
11,NDSS,ISOC Network and Distributed System Security Symposium,B,会议,网络与信息安全
12,TCC,Theory of Cryptography Conference,B,会议,网络与信息安全
1,WiSec,ACM Conference on Security and Privacy in Wireless and Mobile Networks,C,会议,网络与信息安全
2,SACMAT,ACM Symposium on Access Control Models and Technologies,C,会议,网络与信息安全
3,DRM,ACM Workshop on Digital Rights Management,C,会议,网络与信息安全
4,IH&MMSec,ACM Workshop on Information Hiding and Multimedia Security,C,会议,网络与信息安全
5,ACNS,Applied Cryptography and Network Security,C,会议,网络与信息安全
6,AsiaCCS,Asia Conference on Computer and Communications Security,C,会议,网络与信息安全
7,ACISP,Australasia Conference on Information Security and Privacy,C,会议,网络与信息安全
8,CT-RSA,Cryptographer’s Track at RSA Conference,C,会议,网络与信息安全
9,DIMVA,Detection of Intrusions and Malware & Vulnerability Assessment,C,会议,网络与信息安全
10,DFRWS,Digital Forensic Research Workshop,C,会议,网络与信息安全
11,FC,Financial Cryptography and Data Security,C,会议,网络与信息安全
12,TrustCom,"IEEE International Conference on Trust, Security and Privacy in Computing and Communications",C,会议,网络与信息安全
13,SEC,IFIP International Information Security Conference,C,会议,网络与信息安全
14,IFIP WG 11.9,IFIP WG 11.9 International Conference on Digital Forensics,C,会议,网络与信息安全
15,ISC,Information Security Conference,C,会议,网络与信息安全
16,ICDF2C,International Conference on Digital Forensics & Cyber Crime,C,会议,网络与信息安全
17,ICICS,International Conference on Information and Communications Security,C,会议,网络与信息安全
18,SecureComm,International Conference on Security and Privacy in Communication Networks,C,会议,网络与信息安全
19,NSPW,New Security Paradigms Workshop,C,会议,网络与信息安全
20,PAM,Passive and Active Measurement Conference,C,会议,网络与信息安全
21,PETS,Privacy Enhancing Technologies Symposium,C,会议,网络与信息安全
22,SAC,Selected Areas in Cryptography,C,会议,网络与信息安全
23,SOUPS,Symposium On Usable Privacy and Security,C,会议,网络与信息安全
24,HotSec,USENIX Workshop on Hot Topics in Security,C,会议,网络与信息安全
1,PLDI,ACM SIGPLAN Conference on Programming Language Design & Implementation,A,会议,软件工程/系统软件/程序设计语言
2,POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,A,会议,软件工程/系统软件/程序设计语言
3,FSE/ESEC,ACM SIGSOFT Symposium on the Foundation of Software Engineering/ European Software Engineering Conference,A,会议,软件工程/系统软件/程序设计语言
4,SOSP,ACM Symposium on Operating Systems Principles,A,会议,软件工程/系统软件/程序设计语言
5,OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",A,会议,软件工程/系统软件/程序设计语言
6,ASE,International Conference on Automated Software Engineering,A,会议,软件工程/系统软件/程序设计语言
7,ICSE,International Conference on Software Engineering,A,会议,软件工程/系统软件/程序设计语言
8,ISSTA,International Symposium on Software Testing and Analysis,A,会议,软件工程/系统软件/程序设计语言
9,OSDI,USENIX Symposium on Operating Systems Design and Implementations,A,会议,软件工程/系统软件/程序设计语言
1,ECOOP,European Conference on Object-Oriented Programming,B,会议,软件工程/系统软件/程序设计语言
2,ETAPS,European Joint Conferences on Theory and Practice of Software,B,会议,软件工程/系统软件/程序设计语言
3,ICPC,IEEE International Conference on Program Comprehension,B,会议,软件工程/系统软件/程序设计语言
4,RE,IEEE International Requirement Engineering Conference,B,会议,软件工程/系统软件/程序设计语言
5,CAiSE,International Conference on Advanced Information Systems Engineering,B,会议,软件工程/系统软件/程序设计语言
6,ICFP,International Conference on Function Programming,B,会议,软件工程/系统软件/程序设计语言
7,LCTES,"International Conference on Languages, Compilers and Tools for Embedded Systems",B,会议,软件工程/系统软件/程序设计语言
8,MoDELS,International Conference on Model Driven Engineering Languages and Systems,B,会议,软件工程/系统软件/程序设计语言
9,CP,International Conference on Principles and Practice of Constraint Programming,B,会议,软件工程/系统软件/程序设计语言
10,ICSOC,International Conference on Service Oriented Computing,B,会议,软件工程/系统软件/程序设计语言
11,SANER,"International Conference on Software Analysis, Evolution, and Reengineering",B,会议,软件工程/系统软件/程序设计语言
12,ICSME,International Conference on Software Maintenance and Evolution,B,会议,软件工程/系统软件/程序设计语言
13,VMCAI,"International Conference on Verification, Model Checking, and Abstract Interpretation",B,会议,软件工程/系统软件/程序设计语言
14,ICWS,International Conference on Web Services （Research Track）,B,会议,软件工程/系统软件/程序设计语言
15,Middleware,International Middleware Conference,B,会议,软件工程/系统软件/程序设计语言
16,SAS,International Static Analysis Symposium,B,会议,软件工程/系统软件/程序设计语言
17,ESEM,International Symposium on Empirical Software Engineering and Measurement,B,会议,软件工程/系统软件/程序设计语言
18,FM,International Symposium on Formal Methods,B,会议,软件工程/系统软件/程序设计语言
19,ISSRE,International Symposium on Software Reliability Engineering,B,会议,软件工程/系统软件/程序设计语言
20,HotOS,USENIX Workshop on Hot Topics in Operating Systems,B,会议,软件工程/系统软件/程序设计语言
1,PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,C,会议,软件工程/系统软件/程序设计语言
2,PASTE,ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,C,会议,软件工程/系统软件/程序设计语言
3,APLAS,Asian Symposium on Programming Languages and Systems,C,会议,软件工程/系统软件/程序设计语言
4,APSEC,Asia-Pacific Software Engineering Conference,C,会议,软件工程/系统软件/程序设计语言
5,EASE,Evaluation and Assessment in Software Engineering,C,会议,软件工程/系统软件/程序设计语言
6,ICECCS,IEEE International Conference on Engineering of Complex Computer Systems,C,会议,软件工程/系统软件/程序设计语言
7,ICST,"IEEE International Conference on Software Testing, Verification and Validation",C,会议,软件工程/系统软件/程序设计语言
8,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,C,会议,软件工程/系统软件/程序设计语言
9,SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,C,会议,软件工程/系统软件/程序设计语言
10,COMPSAC,International Computer Software and Applications Conference,C,会议,软件工程/系统软件/程序设计语言
11,ICFEM,International Conference on Formal Engineering Methods,C,会议,软件工程/系统软件/程序设计语言
12,TOOLS,"International Conference on Objects, Models, Components, Patterns",C,会议,软件工程/系统软件/程序设计语言
13,QSIC,International Conference on Quality Software,C,会议,软件工程/系统软件/程序设计语言
14,SCC,International Conference on Service Computing,C,会议,软件工程/系统软件/程序设计语言
15,ICSSP,International Conference on Software and System Process,C,会议,软件工程/系统软件/程序设计语言
16,SEKE,International Conference on Software Engineering and Knowledge Engineering,C,会议,软件工程/系统软件/程序设计语言
17,ICSR,International Conference on Software Reuse,C,会议,软件工程/系统软件/程序设计语言
18,ICWE,International Conference on Web Engineering,C,会议,软件工程/系统软件/程序设计语言
19,SPIN,International SPIN Workshop on Model Checking Software,C,会议,软件工程/系统软件/程序设计语言
20,ATVA,International Symposium on Automated Technology for Verification and Analysis,C,会议,软件工程/系统软件/程序设计语言
21,LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,C,会议,软件工程/系统软件/程序设计语言
22,TASE,International Symposium on Theoretical Aspects of Software Engineering,C,会议,软件工程/系统软件/程序设计语言
23,MSR,Mining Software Repositories,C,会议,软件工程/系统软件/程序设计语言
24,REFSQ,Requirements Engineering: Foundation for Software Quality,C,会议,软件工程/系统软件/程序设计语言
25,WICSA,Working IEEE/IFIP Conference on Software Architecture,C,会议,软件工程/系统软件/程序设计语言
1,SIGMOD,ACM Conference on Management of Data,A,会议,数据库/数据挖掘/内容检索
2,SIGKDD,ACM Knowledge Discovery and Data Mining,A,会议,数据库/数据挖掘/内容检索
3,ICDE,IEEE International Conference on Data Engineering,A,会议,数据库/数据挖掘/内容检索
4,SIGIR,International Conference on Research on Development in Information Retrieval,A,会议,数据库/数据挖掘/内容检索
5,VLDB,International Conference on Very Large Data Bases,A,会议,数据库/数据挖掘/内容检索
1,CIKM,ACM International Conference on Information and Knowledge Management,B,会议,数据库/数据挖掘/内容检索
2,WSDM,ACM International Conference on Web Search and Data Mining,B,会议,数据库/数据挖掘/内容检索
3,PODS,ACM Symposium on Principles of Database Systems,B,会议,数据库/数据挖掘/内容检索
4,DASFAA,Database Systems for Advanced Applications,B,会议,数据库/数据挖掘/内容检索
5,ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,B,会议,数据库/数据挖掘/内容检索
6,ISWC,IEEE International Semantic Web Conference,B,会议,数据库/数据挖掘/内容检索
7,ICDM,International Conference on Data Mining,B,会议,数据库/数据挖掘/内容检索
8,ICDT,International Conference on Database Theory,B,会议,数据库/数据挖掘/内容检索
9,EDBT,International Conference on Extending DB Technology,B,会议,数据库/数据挖掘/内容检索
10,CIDR,International Conference on Innovative Data Systems Research,B,会议,数据库/数据挖掘/内容检索
11,SDM,SIAM International Conference on Data Mining,B,会议,数据库/数据挖掘/内容检索
1,APWeb,Asia Pacific Web Conference,C,会议,数据库/数据挖掘/内容检索
2,DEXA,Database and Expert System Applications,C,会议,数据库/数据挖掘/内容检索
3,ECIR,European Conference on IR Research,C,会议,数据库/数据挖掘/内容检索
4,ESWC,Extended Semantic Web Conference,C,会议,数据库/数据挖掘/内容检索
5,WebDB,International ACM Workshop on Web and Databases,C,会议,数据库/数据挖掘/内容检索
6,ER,International Conference on Conceptual Modeling,C,会议,数据库/数据挖掘/内容检索
7,MDM,International Conference on Mobile Data Management,C,会议,数据库/数据挖掘/内容检索
8,SSDBM,International Conference on Scientific and Statistical DB Management,C,会议,数据库/数据挖掘/内容检索
9,WAIM,International Conference on Web Age Information Management,C,会议,数据库/数据挖掘/内容检索
10,SSTD,International Symposium on Spatial and Temporal Databases,C,会议,数据库/数据挖掘/内容检索
11,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,C,会议,数据库/数据挖掘/内容检索
12,WISE,Web Information Systems Engineering,C,会议,数据库/数据挖掘/内容检索
1,STOC,ACM Symposium on the Theory of Computing,A,会议,计算机科学理论
2,SODA,ACM-SIAM Symposium on Discrete Algorithms,A,会议,计算机科学理论
3,CAV,Computer Aided Verification,A,会议,计算机科学理论
4,FOCS,IEEE Annual Symposium on Foundations of Computer Science,A,会议,计算机科学理论
5,LICS,IEEE Symposium on Logic in Computer Science,A,会议,计算机科学理论
1,SoCG,ACM Symposium on Computational Geometry,B,会议,计算机科学理论
2,ESA,European Symposium on Algorithms,B,会议,计算机科学理论
3,CCC,IEEE Conference on Computational Complexity,B,会议,计算机科学理论
4,ICALP,"International Colloquium on Automata, Languages and Programming",B,会议,计算机科学理论
5,CADE/IJCAR,International Conference on Automated Deduction/International Joint Conference on Automated Reasoning,B,会议,计算机科学理论
6,CONCUR,International Conference on Concurrency Theory,B,会议,计算机科学理论
7,HSCC,International Conference on Hybrid Systems: Computation and Control,B,会议,计算机科学理论
8,SAT,Theory and Applications of Satisfiability Testing,B,会议,计算机科学理论
1,CSL,Computer Science Logic,C,会议,计算机科学理论
2,FMCAD,Formal Methods in Computer-Aided Design,C,会议,计算机科学理论
3,FSTTCS,Foundations of Software Technology and Theoretical Computer Science,C,会议,计算机科学理论
4,DSAA,IEEE International Conference on Data Science and Advanced Analytics,C,会议,计算机科学理论
5,ICTAC,International Colloquium on Theoretical Aspects of Computing,C,会议,计算机科学理论
6,IPCO,International Conference on Integer Programming and Combinatorial Optimization,C,会议,计算机科学理论
7,RTA,International Conference on Rewriting Techniques and Applications,C,会议,计算机科学理论
8,ISAAC,International Symposium on Algorithms and Computation,C,会议,计算机科学理论
9,MFCS,Mathematical Foundations of Computer Science,C,会议,计算机科学理论
10,STACS,Symposium on Theoretical Aspects of Computer Science,C,会议,计算机科学理论
1,ACM MM,ACM International Conference on Multimedia,A,会议,计算机图形学与多媒体
2,SIGGRAPH,ACM SIGGRAPH Annual Conference,A,会议,计算机图形学与多媒体
3,VR,IEEE Virtual Reality,A,会议,计算机图形学与多媒体
4,IEEE VIS,IEEE Visualization Conference,A,会议,计算机图形学与多媒体
1,ICMR,ACM SIGMM International Conference on Multimedia Retrieval,B,会议,计算机图形学与多媒体
2,SI3D,ACM Symposium on Interactive 3D Graphics,B,会议,计算机图形学与多媒体
3,SCA,ACM/Eurographics Symposium on Computer Animation,B,会议,计算机图形学与多媒体
4,DCC,Data Compression Conference,B,会议,计算机图形学与多媒体
5,EG,Eurographics,B,会议,计算机图形学与多媒体
6,EuroVis,Eurographics Conference on Visualization,B,会议,计算机图形学与多媒体
7,SGP,Eurographics Symposium on Geometry Processing,B,会议,计算机图形学与多媒体
8,EGSR,Eurographics Symposium on Rendering,B,会议,计算机图形学与多媒体
9,ICASSP,"IEEE International Conference on Acoustics, Speech and SP",B,会议,计算机图形学与多媒体
10,ICME,IEEE International Conference on Multimedia & Expo,B,会议,计算机图形学与多媒体
11,ISMAR,International Symposium on Mixed and Augmented Reality,B,会议,计算机图形学与多媒体
12,PG,Pacific Graphics: The Pacific Conference on Computer Graphics and Applications,B,会议,计算机图形学与多媒体
13,SPM,Symposium on Solid and Physical Modeling,B,会议,计算机图形学与多媒体
1,,ACM Symposium on Virtual Reality Software and Technology,C,会议,计算机图形学与多媒体
2,CASA,Computer Animation and Social Agents,C,会议,计算机图形学与多媒体
3,CGI,Computer Graphics International,C,会议,计算机图形学与多媒体
4,INTERSPEECH,Conference of the International Speech Communication Association,C,会议,计算机图形学与多媒体
5,GMP,Geometric Modeling and Processing,C,会议,计算机图形学与多媒体
6,PacificVis,IEEE Pacific Visualization Symposium,C,会议,计算机图形学与多媒体
7,3DV,International Conference on 3D Vision,C,会议,计算机图形学与多媒体
8,CAD/Graphics,International Conference on Computer-Aided Design and Computer Graphics,C,会议,计算机图形学与多媒体
9,ICIP,International Conference on Image Processing,C,会议,计算机图形学与多媒体
10,MMM,International Conference on Multimedia Modeling,C,会议,计算机图形学与多媒体
11,PCM,Pacific-Rim Conference on Multimedia,C,会议,计算机图形学与多媒体
12,SMI,Shape Modeling International,C,会议,计算机图形学与多媒体
1,AAAI,AAAI Conference on Artificial Intelligence,A,会议,人工智能
2,NeurIPS,Annual Conference on Neural Information Processing Systems,A,会议,人工智能
3,ACL,Annual Meeting of the Association for Computational Linguistics,A,会议,人工智能
4,CVPR,IEEE Conference on Computer Vision and Pattern Recognition,A,会议,人工智能
5,ICCV,International Conference on Computer Vision,A,会议,人工智能
6,ICML,International Conference on Machine Learning,A,会议,人工智能
7,IJCAI,International Joint Conference on Artificial Intelligence,A,会议,人工智能
1,COLT,Annual Conference on Computational Learning Theory,B,会议,人工智能
2,EMNLP,Conference on Empirical Methods in Natural Language Processing,B,会议,人工智能
3,ECAI,European Conference on Artificial Intelligence,B,会议,人工智能
4,ECCV,European Conference on Computer Vision,B,会议,人工智能
5,ICRA,IEEE International Conference on Robotics and Automation,B,会议,人工智能
6,ICAPS,International Conference on Automated Planning and Scheduling,B,会议,人工智能
7,ICCBR,International Conference on Case-Based Reasoning and Development,B,会议,人工智能
8,COLING,International Conference on Computational Linguistics,B,会议,人工智能
9,KR,International Conference on Principles of Knowledge Representation and Reasoning,B,会议,人工智能
10,UAI,International Conference on Uncertainty in Artificial Intelligence,B,会议,人工智能
11,AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,B,会议,人工智能
12,PPSN,Parallel Problem Solving from Nature,B,会议,人工智能
1,AISTATS,Artificial Intelligence and Statistics,C,会议,人工智能
2,ACCV,Asian Conference on Computer Vision,C,会议,人工智能
3,ACML,Asian Conference on Machine Learning,C,会议,人工智能
4,BMVC,British Machine Vision Conference,C,会议,人工智能
5,NLPCC,conf.International Conference on Natural Language Processing and Chinese Computing,C,会议,人工智能
6,CoNLL,Conference on Computational Natural Language Learning,C,会议,人工智能
7,GECCO,Genetic and Evolutionary Computation Conference,C,会议,人工智能
8,ICTAI,IEEE International Conference on Tools with Artificial Intelligence,C,会议,人工智能
9,IROS,IEEE/RSJ International Conference on Intelligent Robots and Systems,C,会议,人工智能
10,ALT,International Conference on Algorithmic Learning Theory,C,会议,人工智能
11,ICANN,International Conference on Artificial Neural Networks,C,会议,人工智能
12,FG,International Conference on Automatic Face and Gesture Recognition,C,会议,人工智能
13,ICDAR,International Conference on Document Analysis and Recognition,C,会议,人工智能
14,ILP,International Conference on Inductive Logic Programming,C,会议,人工智能
15,KSEM,"International conference on Knowledge Science, Engineering and Management",C,会议,人工智能
16,ICONIP,International Conference on Neural Information Processing,C,会议,人工智能
17,ICPR,International Conference on Pattern Recognition,C,会议,人工智能
18,ICB,International Joint Conference on Biometrics,C,会议,人工智能
19,IJCNN,International Joint Conference on Neural Networks,C,会议,人工智能
20,PRICAI,Pacific Rim International Conference on Artificial Intelligence,C,会议,人工智能
21,NAACL,The Annual Conference of the North American Chapter of the Association for Computational Linguistics,C,会议,人工智能
1,CSCW,ACM Conference on Computer Supported Cooperative Work and Social Computing,A,会议,人机交互与普适计算
2,CHI,ACM Conference on Human Factors in Computing Systems,A,会议,人机交互与普适计算
3,UbiComp,ACM International Conference on Ubiquitous Computing,A,会议,人机交互与普适计算
1,GROUP,ACM Conference on Supporting Group Work,B,会议,人机交互与普适计算
2,IUI,ACM International Conference on Intelligent User Interfaces,B,会议,人机交互与普适计算
3,ITS,ACM International Conference on Interactive Tabletops and Surfaces,B,会议,人机交互与普适计算
4,UIST,ACM Symposium on User Interface Software and Technology,B,会议,人机交互与普适计算
5,ECSCW,European Conference on Computer Supported Cooperative Work,B,会议,人机交互与普适计算
6,PERCOM,IEEE International Conference on Pervasive Computing and Communications,B,会议,人机交互与普适计算
7,MobileHCI,International Conference on Human Computer Interaction with Mobile Devices and Services,B,会议,人机交互与普适计算
1,DIS,ACM Conference on Designing Interactive Systems,C,会议,人机交互与普适计算
2,ICMI,ACM International Conference on Multimodal Interaction,C,会议,人机交互与普适计算
3,ASSETS,ACM SIGACCESS Conference on Computers and Accessibility,C,会议,人机交互与普适计算
